 ;Coremans - Etten-Leur / Totale opbrengst / Meterwijziging  [kWh]0
1-6-22;"76,508"
2-6-22;"87,318"
3-6-22;"87,788"
4-6-22;"74,946"
5-6-22;"23,430"
6-6-22;"42,505"
7-6-22;"60,332"
8-6-22;"29,349"
9-6-22;"71,634"
10-6-22;"49,676"
11-6-22;"84,831"
12-6-22;"88,299"
13-6-22;"86,205"
14-6-22;"94,712"
15-6-22;"96,143"
16-6-22;"93,391"
17-6-22;"89,420"
18-6-22;"80,258"
19-6-22;"34,132"
20-6-22;"86,436"
21-6-22;"63,203"
22-6-22;"97,405"
23-6-22;"83,355"
24-6-22;"50,451"
25-6-22;"48,194"
26-6-22;"66,502"
27-6-22;"33,356"
28-6-22;"92,345"
29-6-22;"87,400"
30-6-22;"50,214"
